x,y,R,G,B
0.015,0.015,0,0,0
0.045,0.015,0,0,0
0.075,0.015,0,0,0
0.105,0.015,0,0,0
0.135,0.015,0,0,0
0.165,0.015,0,0,0
0.195,0.015,0,0,0
0.225,0.015,0,0,0
0.255,0.015,0,0,0
0.285,0.015,0,0,0
0.315,0.015,0,0,0
0.345,0.015,0,0,0
0.375,0.015,0,0,0
0.405,0.015,0,0,0
0.435,0.015,0,0,0
0.465,0.015,0,0,0
0.495,0.015,0,0,0
0.525,0.015,0,0,0
0.555,0.015,0,0,0
0.585,0.015,0,0,0
0.615,0.015,0,0,0
0.645,0.015,0,0,0
0.675,0.015,0,0,0
0.705,0.015,0,0,0
0.735,0.015,0,0,0
0.765,0.015,0,0,0
0.795,0.015,0,0,0
0.825,0.015,0,0,0
0.855,0.015,0,0,0
0.885,0.015,127,127,0
0.915,0.015,127,127,0
0.945,0.015,0,0,0
0.975,0.015,0,0,0
1.005,0.015,0,0,0
1.035,0.015,0,0,0
1.065,0.015,0,0,0
1.095,0.015,0,0,0
1.125,0.015,0,0,0
1.155,0.015,0,0,0
1.185,0.015,0,0,0
1.215,0.015,127,127,0
1.245,0.015,0,0,0
1.275,0.015,0,0,0
1.305,0.015,0,0,0
1.335,0.015,127,127,0
1.365,0.015,127,127,0
1.395,0.015,0,0,0
1.425,0.015,0,0,0
1.455,0.015,0,0,0
1.485,0.015,0,0,0
1.515,0.015,0,0,0
1.545,0.015,0,0,0
1.575,0.015,0,0,0
1.605,0.015,0,0,0
1.635,0.015,0,0,0
1.665,0.015,0,0,0
1.695,0.015,0,0,0
1.725,0.015,0,0,0
1.755,0.015,0,0,0
1.785,0.015,0,0,0
1.815,0.015,0,0,0
1.845,0.015,0,0,0
1.875,0.015,0,0,0
1.905,0.015,0,0,0
1.935,0.015,0,0,0
1.965,0.015,0,0,0
1.995,0.015,0,0,0
2.025,0.015,0,0,0
2.055,0.015,0,0,0
2.085,0.015,0,0,0
2.115,0.015,0,0,0
2.145,0.015,0,0,0
2.175,0.015,0,0,0
2.205,0.015,0,0,0
2.235,0.015,0,0,0
2.265,0.015,0,0,0
2.295,0.015,0,0,0
2.325,0.015,0,0,0
2.355,0.015,0,0,0
2.385,0.015,0,0,0
2.415,0.015,0,0,0
2.445,0.015,0,0,0
2.475,0.015,0,0,0
2.505,0.015,0,0,0
2.535,0.015,0,0,0
2.565,0.015,0,0,0
2.595,0.015,0,0,0
2.625,0.015,0,0,0
2.655,0.015,0,0,0
2.685,0.015,0,0,0
2.715,0.015,0,0,0
2.745,0.015,0,0,0
2.775,0.015,0,0,0
2.805,0.015,0,0,0
2.835,0.015,0,0,0
2.865,0.015,0,0,0
2.895,0.015,0,0,0
2.925,0.015,0,0,0
2.955,0.015,0,0,0
2.985,0.015,0,0,0
3.015,0.015,0,0,0
3.045,0.015,0,0,0
3.075,0.015,0,0,0
3.105,0.015,0,0,0
3.135,0.015,0,0,0
3.165,0.015,0,0,0
3.195,0.015,0,0,0
3.225,0.015,0,0,0
3.255,0.015,0,0,0
3.285,0.015,0,0,0
3.315,0.015,0,0,0
3.345,0.015,0,0,0
3.375,0.015,0,0,0
3.405,0.015,0,0,0
3.435,0.015,0,0,0
3.465,0.015,0,0,0
3.495,0.015,0,0,0
3.525,0.015,0,0,0
3.555,0.015,0,0,0
3.585,0.015,0,0,0
3.615,0.015,0,0,0
3.645,0.015,0,0,0
3.675,0.015,0,0,0
3.705,0.015,0,0,0
3.735,0.015,0,0,0
3.765,0.015,127,127,0
3.795,0.015,127,127,0
3.825,0.015,127,127,0
3.855,0.015,127,127,0
3.885,0.015,127,127,0
3.915,0.015,127,127,0
3.945,0.015,127,127,0
